reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
21103159054 | 103 | 100403 | Digital Electronics | F | P | D | 5.82 | 5.95 | 6.27 | 6.30 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159054 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159054&exam_held=December%2F2025
21103159057 | 103 | 100401,103402 | Biology for Engineers,Electrical Machines – II | F,F | P,P | D,D | 5.73 | 6.00 | 6.31 | 6.38 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159057 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159057&exam_held=December%2F2025
21103159058 | 103 | 100403,103402 | Digital Electronics,Electrical Machines – II | F,F | P,D | D,C | 5.96 | 6.23 | 6.66 | 6.72 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159058 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159058&exam_held=December%2F2025
21103159061 | 103 | 103401 | Electrical and Electronics Measurement | F | P | D | 4.73 | 4.86 | 5.81 | 5.85 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159061 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159061&exam_held=December%2F2025
21103159063 | 103 | 103403,103404 | Mathematics – III (Probability and Statistics),Signals and Systems | F,F | P,P | D,D | 5.77 | 6.09 | 6.56 | 6.64 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159063 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159063&exam_held=December%2F2025
21103159073 | 103 | 103401 | Electrical and Electronics Measurement | F | D | C | 6.46 | 6.59 | 7.16 | 7.19 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103159073 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103159073&exam_held=December%2F2025
21103165003 | 103 | 103402 | Electrical Machines – II | F | C | B | 6.36 | 6.50 | 6.71 | 6.75 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103165003 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103165003&exam_held=December%2F2025
21103165008 | 103 | 100403 | Digital Electronics | F | P | D | 6.14 | 6.27 | 6.7 | 6.73 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103165008 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103165008&exam_held=December%2F2025
21104102006 | 104 | 104405 | Semiconductor Physics and Devices | F | D | C | 6.65 | 6.78 | 7.06 | 7.10 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104102006 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104102006&exam_held=December%2F2025
21104102015 | 104 | 104401,104403,104404 | Analog Circuits,Digital Circuits,Electromagnetic Theory | F,F,F | P,D,D | D,C,C | 6.48 | 6.96 | 7.01 | 7.14 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104102015 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104102015&exam_held=December%2F2025
21104103002 | 104 | 104401 | Analog Circuits | F | P | D | 6 | 6.13 | 7.17 | 7.21 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104103002 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104103002&exam_held=December%2F2025
21104108003 | 104 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | F | D | C | 6.91 | 7.00 | 7.05 | 7.07 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104108003 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104108003&exam_held=December%2F2025
21104108020 | 104 | 104403,104404 | Digital Circuits,Electromagnetic Theory | F,F | D,D | C,C | 5.96 | 6.30 | 6.75 | 6.84 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104108020 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104108020&exam_held=December%2F2025
21104130001 | 104 | 104401,104405 | Analog Circuits,Semiconductor Physics and Devices | F,F | D,D | C,C | 6.04 | 6.30 | 6.62 | 6.69 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130001&exam_held=December%2F2025
21104130004 | 104 | 104401 | Analog Circuits | F | D | C | 6.35 | 6.48 | 6.92 | 6.96 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130004 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130004&exam_held=December%2F2025
21104130013 | 104 | 104401,104402 | Analog Circuits,Analog Communication | F,F | D,P | C,D | 6.39 | 6.65 | 7.01 | 7.07 | PENALTY_CONFIRMED | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21104130013 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21104130013&exam_held=December%2F2025
