reg_no | branch_code | penalized_subject_codes | subject_names | old_shown_grades | new_shown_grades | should_be_grades | shown_sgpa | corrected_sgpa | shown_cgpa | corrected_cgpa | status | old_result_url | new_result_url
23102117018 | 102 | 100206 | ENGLISH | F | D | C | 6.37 | 6.46 | 6.24 | 6.29 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102117018 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102117018&exam_held=November%2F2025
23102123003 | 102 | 100203,100205 | CHEMISTRY,WORKSHOP MANUFACTURING PRACTICES | F,F | P,P | D,D | 7.27 | 7.51 | 7.21 | 7.34 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102123003 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102123003&exam_held=November%2F2025
23102123007 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 7.51 | 7.66 | 7.37 | 7.45 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102123007 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102123007&exam_held=November%2F2025
23102123009 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 7.56 | 7.71 | 7.33 | 7.41 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102123009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102123009&exam_held=November%2F2025
23102123010 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | P | D | 7.37 | 7.51 | 7.05 | 7.13 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102123010 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102123010&exam_held=November%2F2025
23102123011 | 102 | 100203,100205 | CHEMISTRY,WORKSHOP MANUFACTURING PRACTICES | F,F | P,P | D,D | 7.17 | 7.41 | 6.95 | 7.08 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102123011 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102123011&exam_held=November%2F2025
23102124002 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | P | D | 7.37 | 7.56 | 6.87 | 6.98 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102124002 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102124002&exam_held=November%2F2025
23102124013 | 102 | 100206 | ENGLISH | F | D | C | 7.44 | 7.54 | 7.13 | 7.18 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102124013 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102124013&exam_held=November%2F2025
23102124015 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 7 | 7.15 | 6.79 | 6.87 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102124015 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102124015&exam_held=November%2F2025
23102124017 | 102 | 100206 | ENGLISH | F | C | B | 7.1 | 7.20 | 7.13 | 7.18 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102124017 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102124017&exam_held=November%2F2025
23102125009 | 102 | 100205 | WORKSHOP MANUFACTURING PRACTICES | F | P | D | 6.59 | 6.63 | 6.78 | 6.80 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102125009 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102125009&exam_held=November%2F2025
23102125015 | 102 | 100204 | PROGRAMMING FOR PROBLEM SOLVING | F | D | C | 7.07 | 7.22 | 6.86 | 6.93 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102125015 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102125015&exam_held=November%2F2025
23102125020 | 102 | 100203 | CHEMISTRY | F | P | D | 6.73 | 6.93 | 6.62 | 6.73 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102125020 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102125020&exam_held=November%2F2025
23102125024 | 102 | 102202 | MATHEMATICS - II (ODE & COMPLEX VARIABLES) | F | P | D | 6.37 | 6.56 | 6.29 | 6.39 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102125024 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102125024&exam_held=November%2F2025
23102126039 | 102 | 100206 | ENGLISH | F | P | D | 6.22 | 6.32 | 5.39 | 5.45 | PENALTY_CONFIRMED | http://results.beup.ac.in/ResultsBTech2ndSem2024_B2023Pub.aspx?Sem=II&RegNo=23102126039 | https://beu-bih.ac.in/result-three?name=B.Tech.+2nd+Semester+Examination%2C+2025+%28Old%29&semester=II&session=2025&regNo=23102126039&exam_held=November%2F2025
